Phylum,AAT,CRAT,CAT,MT,CRT,ART
Proteobacteria,0,0.378222952,0.140497143,0.227090713,0.154650139,0.037579392
Actinobacteriota,0,0,0.376213667,0.10358442,0.132970352,0.066425544
Firmicutes,1,0.621777048,0.323077888,0.128722383,0.098910716,0.063203616
Bacteroidota,0,0,0,0,0.001439574,0
Others,0,0,0,0,0.001161354,0
