#OTU ID,Y,Y20,Y20G,Y4,Y80,Y80G,taxonomy,rrn,rarity group
ASV_134,418,1,0,6,0,0,k__Bacteria,2.5,CRT
ASV_135,0,0,139,118,0,15,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria,1.67,MT
ASV_136,41,168,15,1,58,0,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Hyphomicrobiaceae;g__Devosia,#N/A,#N/A
ASV_137,984,11,1,535,0,0,k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus,1.67,MT
ASV_138,0,0,357,314,0,1,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,#N/A,#N/A
ASV_139,47,468,0,2,345,2,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Microbacteriaceae;g__Microbacterium;s__Microbacterium_insulae,#N/A,#N/A
ASV_14,2,0,4,2542,0,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__Pseudomonas_fluorescens,2.21,CRT
ASV_140,5,215,0,0,239,7,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Microbacteriaceae;g__Microbacterium,10.65,CRT
ASV_141,0,0,0,185,0,0,k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Chryseobacterium;s__Chryseobacterium_sp._UK6,2.95,MT
ASV_142,117,261,0,8,4,46,k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus,#N/A,#N/A
ASV_143,2,0,0,240,0,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas,5.01,ART
ASV_144,13,130,8,1,100,0,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Micrococcaceae;g__Arthrobacter;s__Arthrobacter_sp._RSP-VIG-58,#N/A,#N/A
ASV_145,54,420,39,26,0,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Stenotrophomonas;s__Stenotrophomonas_sp._ZH-01,5,CRT
ASV_146,29,213,6,0,0,1,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Brevundimonas,2.5,CRT
