ID,group,percentage,perstd
1,Mock,0.495207027,0.060772287
2,T4,0.236565335,0.045321461
3,T-20,0.315167581,0.03515874
4,T-20G,0.347412985,0.027661935
5,T-80,0.387406514,0.069646832
6,T-80G,0.377677856,0.042323655
7,Total,0.562725029,0.103185818
